# IR0 BusyBox applet status — generated by make busybox-matrix.
# Do not edit by hand: status must come from a run, not from a build.
# applet	status	evidence
ash        	supported	make smoke-fase58e-ash-interactive
awk        	unverified	no-gate
base64     	unverified	no-gate
basename   	supported	busybox-matrix(ec=0)
cat        	supported	busybox-matrix(ec=0)
chgrp      	unverified	no-gate
chmod      	supported	busybox-matrix(ec=0)
chown      	unverified	no-gate
chroot     	unverified	no-gate
cksum      	unverified	no-gate
clear      	supported	busybox-matrix(ec=0)
cmp        	unverified	no-gate
comm       	unverified	no-gate
cp         	supported	busybox-matrix(ec=0)
cut        	unverified	no-gate
date       	unverified	no-gate
dd         	unverified	no-gate
df         	unavailable	mount-table walk hangs on MINIX (no gate yet)
dirname    	supported	busybox-matrix(ec=0)
dmesg      	unverified	deferred from matrix (fork pressure)
du         	unverified	no-gate
echo       	supported	busybox-matrix(ec=0)
egrep      	unverified	no-gate
env        	supported	busybox-matrix(ec=0)
expr       	unverified	no-gate
false      	supported	busybox-matrix(ec=1)
fgrep      	unverified	no-gate
find       	unverified	no-gate
free       	unverified	hung guest after heavy fork pressure in matrix
grep       	unverified	no-gate
groups     	unverified	no-gate
gunzip     	unverified	deferred from matrix (fork pressure)
gzip       	unverified	deferred from matrix (fork pressure)
halt       	supported	make smoke-runit-busybox-halt
head       	unverified	no-gate
hexdump    	unverified	no-gate
hostname   	unverified	no-gate
id         	supported	busybox-matrix(ec=0)
kill       	unverified	no-gate
killall    	unverified	no-gate
less       	unverified	no-gate
link       	unverified	no-gate
ln         	supported	busybox-matrix(ec=0)
logname    	unverified	no-gate
ls         	supported	busybox-matrix(ec=0)
md5sum     	unverified	no-gate
mkdir      	supported	busybox-matrix(ec=0)
mkfifo     	unverified	no-gate
mknod      	unverified	no-gate
mktemp     	unverified	no-gate
more       	unverified	no-gate
mount      	partial	needs remount/MS_RDONLY recovery gate
mountpoint 	unverified	no-gate
mv         	supported	busybox-matrix(ec=0)
nice       	unverified	deferred from matrix (fork pressure)
nl         	unverified	no-gate
nproc      	unverified	no-gate
od         	unverified	no-gate
paste      	unverified	no-gate
pidof      	unverified	deferred from matrix (fork pressure)
poweroff   	supported	make smoke-runit-busybox-poweroff
printenv   	unverified	no-gate
printf     	supported	busybox-matrix(ec=0)
ps         	unverified	no-gate
pwd        	supported	busybox-matrix(ec=0)
readlink   	unverified	no-gate
realpath   	unverified	no-gate
reboot     	supported	make smoke-runit-busybox-reboot
reset      	unverified	no-gate
rm         	supported	busybox-matrix(ec=0)
rmdir      	supported	busybox-matrix(ec=0)
sed        	unverified	no-gate
seq        	unverified	no-gate
sh         	supported	make smoke-fase58e-ash-interactive
sha1sum    	unverified	no-gate
sha256sum  	unverified	no-gate
sleep      	supported	busybox-matrix(ec=0)
sort       	unverified	no-gate
split      	unverified	no-gate
stat       	supported	busybox-matrix(ec=0)
stty       	unverified	no-gate
sync       	supported	busybox-matrix(ec=0)
tac        	unverified	no-gate
tail       	unverified	no-gate
tar        	unverified	deferred from matrix (fork pressure)
tee        	unverified	no-gate
test       	supported	busybox-matrix(ec=0)
time       	unverified	deferred from matrix (fork pressure)
touch      	supported	busybox-matrix(ec=0)
tr         	unverified	no-gate
true       	supported	busybox-matrix(ec=0)
tty        	unverified	hung guest after heavy fork pressure in matrix
umount     	unverified	paired with mount remount gate
uname      	supported	busybox-matrix(ec=0)
uniq       	unverified	no-gate
unlink     	unverified	no-gate
uptime     	unverified	no-gate
usleep     	unverified	no-gate
wc         	unverified	no-gate
which      	supported	busybox-matrix(ec=0)
whoami     	unverified	no-gate
xargs      	unverified	no-gate
yes        	unverified	no-gate
